ref,address,community,list_price,sold_price,sold_to_list_pct,type,storeys,br,wr,fam,kit,garage,ac,heat,contract_date,sold_date,dom,mls,original_list_price,prior_terminations,property_dom
1,176 Brunswick Ave,University,849000,815000,96.0,Semi-Detached,2.5,3,2,N,1,Detached,None,Gas,2026-05-20,2026-06-15,26,C13149482,,,
2,627 Bathurst St,University,989000,1315000,133.0,Semi-Detached,2.5,4,3,Y,2,Detached,Central Air,Gas,2026-06-22,2026-06-29,7,C13473688,,,
3,81B Ulster St,University,995000,1320000,132.7,Att/Row/Twnhouse,3,3,3,N,1,None,Central Air,Gas,2026-05-19,2026-05-26,7,C13144856,,,
4,91 Borden St,University,999000,1195800,119.7,Att/Row/Twnhouse,2.5,5+1,3,N,2,None,None,Gas,2026-07-16,2026-07-27,11,C13574280,,,
5,138 Major St,University,999000,1419000,142.0,Att/Row/Twnhouse,3,4+1,3,N,2,None,None,Gas,2026-07-06,2026-07-13,7,C13526018,,,
6,63 Sussex Ave,University,1199000,1546000,128.9,Semi-Detached,3,4+1,4,Y,2,None,Wall Unit,Gas,2026-08-12,2026-08-22,10,C13668080,,,
7,60 Ulster St,University,1238000,1215000,98.1,Att/Row/Twnhouse,3,4,2,N,1,None,None,Gas,2026-03-30,2026-04-10,11,C12938594,,,
8,17 Major St,University,1395000,1265000,90.7,Semi-Detached,2,4,3,N,1,Detached,Central Air,Gas,2026-05-21,2026-07-21,61,C13155234,,,
9,46 Brunswick Ave,University,1498000,1600000,106.8,Semi-Detached,3,4,3,Y,2,Detached,Wall Unit,Gas,2026-08-21,2026-08-24,3,C13702142,1888000,2,27
10,35 Borden St,University,1499000,1375000,91.7,Semi-Detached,2,4,1,N,1,Detached,Central Air,Gas,2026-05-22,2026-06-30,39,C13161220,,,
11,224 Lippincott St,University,1529000,1492000,97.6,Semi-Detached,3,4+1,3,N,2,None,None,Gas,2026-06-03,2026-07-09,36,C13237174,,,
12,107 Borden St,University,1578000,1480000,93.8,Att/Row/Twnhouse,3,3,2,Y,1,Detached,Central Air,Gas,2026-06-22,2026-07-08,16,C13472950,,,
13,100 Sussex Ave,University,1585000,1500000,94.6,Semi-Detached,2.5,3,3,N,1,None,Central Air,Gas,2026-05-20,2026-06-05,16,C13152180,,,
14,157 Lippincott St,University,1635000,1500000,91.7,Semi-Detached,2,3+1,2,Y,1,None,Central Air,Gas,2026-03-03,2026-04-08,36,C12841798,,,
15,185 Major St,University,1695000,1650000,97.3,Semi-Detached,2.5,3+1,3,Y,1,None,Central Air,Other,2026-03-03,2026-04-04,32,C12843916,,,
16,250 Robert St,University,1698000,1600000,94.2,Semi-Detached,2.5,4+1,3,N,1,None,Window Unit,Gas,2026-03-03,2026-04-29,57,C12840586,,,
17,281 Brunswick Ave,University,1700000,1800000,105.9,Semi-Detached,2,3+2,3,Y,1,Detached,Central Air,Gas,2026-06-17,2026-07-23,36,C13459842,,,
18,90 Willcocks St,University,1899900,1900000,100.0,Att/Row/Twnhouse,2,3+1,3,N,1,Detached,None,Gas,2026-04-13,2026-04-16,3,C12991626,,,
19,329 Lippincott St,University,1998000,1850000,92.6,Detached,3,4+1,4,Y,2,Detached,Central Air,Gas,2026-05-19,2026-06-22,34,C13149568,,,
20,374 Lippincott St,University,2195000,2150000,97.9,Semi-Detached,3,3+1,4,Y,1,Detached,Central Air,Gas,2026-06-09,2026-06-12,3,C13419342,,,
21,266 Brunswick Ave,University,2689000,2450000,91.1,Att/Row/Twnhouse,3,3,4,Y,1,Detached,Central Air,Gas,2026-04-16,2026-06-17,62,C13006876,,,
22,69 Brunswick Ave,University,2750000,2600000,94.5,Triplex,3,4,6,Y,3,Detached,Central Air,Gas,2026-04-24,2026-06-03,40,C13039526,,,
23,82 Major St,University,2998369,3000000,100.1,Detached,3,5+1,6,Y,2,Detached,Central Air,Gas,2026-08-01,2026-08-06,5,C13627952,,,
24,365 Shaw St,Trinity-Bellwoods,1349000,1435000,106.4,Duplex,3,4,2,,,Detached,,,2026-08-24,2026-08-26,2,C13705850,,,
